Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-100281.91	144061.94	-21733.037	-844514.9	100.0	-0.36310336	2.9802322e-08	-0.3631034	-0.3631034	5000	1.4305114e-08	7032668000.0	-0.0010466247	-287232.0	2.7437842	0.0043538413	0.036	79.0	3.977451801300049
1	-1093491.2	6840805.5	-13232.747	-48965716.0	100.0	-4.085997	4.7683716e-07	-4.0859966	-4.0859966	10000	-2.7656555e-09	16718600000000.0	-0.0018339133	-14680064.0	2.7265208	0.015510327	0.212	9.0	7.1477415561676025
2	-102574.62	316676.5	-22667.256	-2286522.8	100.0	-21.427868	0.0	-21.427868	-21.427868	15000	-8.392334e-09	4069802500.0	-0.0031785339	-198400.0	2.718968	0.0073815673	0.0914	79.0	10.74809193611145
3	-72996.81	79299.836	-14197.928	-396941.16	100.0	-26.25405	1.9073486e-06	-26.254047	-26.254047	20000	-1.2207031e-08	2243337700.0	-0.003548848	-147712.0	2.7704387	0.0034813122	0.0446	79.0	14.350662231445312
4	-12824398000.0	89770220000.0	-11570.151	-641215950000.0	100.0	-29.153376	1.9073486e-06	-29.153374	-29.153374	25000	3.871918e-08	6.8382896e+20	-0.0022492022	0.0	2.7269058	0.017291272	0.2326	15.0	17.07340979576111
5	-1312502.0	7730280.5	-17396.44	-55326320.0	100.0	-121.27895	7.6293945e-06	-121.27896	-121.27896	30000	-1.01089475e-08	5189971500000.0	-0.0017889541	-5767168.0	2.7297447	0.016437726	0.264	13.0	20.298992395401
6	-53573.49	70834.77	-10529.625	-473763.53	100.0	-135.5824	0.0	-135.5824	-135.5824	35000	5.531311e-09	2008420500.0	-0.00324937	-512.0	2.7268374	0.007904004	0.0746	79.0	23.834656715393066
7	-113159.06	260421.53	-9568.449	-1380149.0	100.0	-135.59203	0.0	-135.59203	-135.59203	40000	-6.2942505e-09	15012300000.0	-0.003494478	-3072.0	2.8034081	0.008738979	0.1012	79.0	27.40951919555664
8	-46092.26	47759.26	-10682.0205	-271611.94	100.0	-135.59755	1.5258789e-05	-135.59756	-135.59756	45000	1.9645691e-08	1047846400.0	-0.0028644188	-128.0	2.8572297	0.0038011933	0.0542	79.0	30.967986822128296
9	-2988432.0	19840134.0	-8580.209	-141799900.0	100.0	-135.60071	3.0517578e-05	-135.60074	-135.60074	50000	-8.392334e-09	155540710000000.0	-0.0021766282	0.0	2.8633509	0.004733623	0.0382	79.0	34.49469542503357
10	-286585.22	863626.94	-7379.6577	-4462145.0	100.0	-135.88293	1.5258789e-05	-135.88295	-135.88295	55000	-2.3937226e-08	275748000000.0	-0.0035869735	0.0	2.8269544	0.0040799626	0.0734	79.0	38.14941072463989
11	-54322606000.0	380257960000.0	-4763.2236	-2716128200000.0	100.0	-135.94366	0.0	-135.94366	-135.94366	60000	3.499985e-07	4.7005056e+22	-0.0014256998	0.0	2.8301802	0.008818179	0.0906	79.0	41.59428405761719
12	-98676.88	240867.81	-5904.088	-1536073.1	100.0	-462.6727	0.0	-462.6727	-462.6727	65000	2.2125244e-08	12679227000.0	-0.0025928856	-2874368.0	2.7941227	0.008397248	0.0642	79.0	44.893166065216064
13	-702316.4	2931230.8	-6363.6157	-18386736.0	100.0	-508.21396	3.0517578e-05	-508.214	-508.214	70000	9.155274e-09	1708496400000.0	-0.0033563278	0.0	2.8581178	0.018570464	0.311	10.0	47.895901918411255
14	-316643.75	1448272.9	-8528.748	-9896888.0	100.0	-508.22815	3.0517578e-05	-508.22818	-508.22818	75000	8.5830687e-10	367307000000.0	-0.0026747019	0.0	2.844039	0.016466763	0.2656	10.0	50.868008613586426
15	-374843.62	2307406.2	-4251.708	-16514378.0	100.0	-508.22845	6.1035156e-05	-508.2284	-508.2284	80000	8.5830687e-10	1210668200000.0	-0.002177681	0.0	2.8278458	0.009244843	0.1396	79.0	54.42985653877258
16	-2955166.0	20396250.0	-3912.4048	-145728020.0	100.0	-508.22845	6.1035156e-05	-508.2284	-508.2284	85000	-1.8882751e-08	145560130000000.0	-0.002840106	0.0	2.8726325	0.010289992	0.1626	79.0	58.10498833656311
17	-193489.86	666511.75	-4572.4976	-3945591.5	100.0	-508.2629	0.0	-508.2629	-508.2629	90000	-5.722046e-09	145236540000.0	-0.0020490107	0.0	2.9055629	0.016373746	0.2082	12.0	61.27784609794617
18	-223050.02	1138389.4	-3120.175	-8119003.5	100.0	-508.2676	6.1035156e-05	-508.26767	-508.26767	95000	6.866455e-09	306318180000.0	-0.002773077	0.0	2.8456895	0.019332169	0.3116	11.0	64.4970133304596
19	-62249.387	275521.62	-2013.4712	-1968045.1	100.0	-508.2676	6.1035156e-05	-508.26767	-508.26767	100000	-9.107589e-09	25601059000.0	-0.0045627155	0.0	2.8364875	0.022026943	0.3074	7.0	67.75908493995667
20	-18153114.0	126942880.0	-1995.5897	-906753200.0	100.0	-508.2676	6.1035156e-05	-508.26767	-508.26767	105000	2.861023e-09	3741891500000000.0	-0.0017028915	0.0	2.861439	0.016804101	0.235	12.0	71.23329210281372
21	-548655.25	3632297.0	-1889.8387	-25955816.0	100.0	-508.4167	3.0517578e-05	-508.41672	-508.41672	110000	5.722046e-10	5275252000000.0	-0.0019439859	0.0	2.8299403	0.014948159	0.215	15.0	74.50997281074524
22	-29402.89	150531.61	-1073.1224	-1082409.9	100.0	-508.4467	3.0517578e-05	-508.44666	-508.44666	115000	-5.2452087e-09	7309835000.0	-0.0018379979	0.0	2.7931058	0.015390227	0.2236	18.0	77.74637579917908
23	-26548.07	132814.2	-1351.5942	-952232.7	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	120000	-8.010864e-09	7678599700.0	-0.0020485208	0.0	2.802517	0.0052746763	0.1168	79.0	81.3249499797821
24	-18021.748	46828.26	-928.1658	-242709.22	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	125000	-3.4332275e-09	832134500.0	-0.0041249814	0.0	2.8099883	0.0048655616	0.0772	79.0	84.96542382240295
25	-24899.748	102064.875	-841.864	-659090.0	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	130000	-2.0503998e-08	3054290400.0	-0.0022829266	0.0	2.751701	0.008025956	0.0804	79.0	88.55506730079651
26	-21430.305	107010.01	-747.022	-756871.06	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	135000	-8.5830685e-09	2658551000.0	-0.0035133513	0.0	2.8031485	0.005946021	0.0838	79.0	92.07134819030762
27	-32970.18	199844.1	-608.32825	-1431433.1	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	140000	8.106232e-09	16818712000.0	-0.0035836343	0.0	2.7806506	0.009661428	0.1082	79.0	95.68708157539368
28	-6851.5254	15329.506	-895.4465	-91447.46	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	145000	1.4209747e-08	105546000.0	-0.0047623925	0.0	2.7805905	0.007366323	0.0834	79.0	99.2648823261261
29	-13019.268	60586.926	-725.74146	-435643.97	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	150000	1.6021728e-08	692790460.0	-0.0043807994	0.0	2.8347044	0.009748132	0.083	79.0	102.87226605415344
30	-7381.3027	25355.55	-638.34326	-174116.11	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	155000	8.9645384e-09	40451652.0	-0.0025671134	0.0	2.7535741	0.022293005	0.2944	9.0	106.27491736412048
31	-99969.19	681317.44	-504.7572	-4869149.0	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	160000	-1.4972686e-08	185380180000.0	-0.0031969212	0.0	2.727773	0.019294031	0.315	10.0	109.53051233291626
32	-2820.2803	3678.8523	-588.90845	-19636.902	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	165000	-2.746582e-08	4172935.2	-0.0027151126	0.0	2.7283986	0.0054952432	0.0308	79.0	113.09059739112854
33	-4183.7227	5778.035	-709.13135	-30262.236	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	170000	1.9454957e-08	12389746.0	-0.0017733322	0.0	2.756479	0.003858374	0.0278	79.0	116.70002698898315
34	-2872.5254	5086.485	-496.13583	-32893.586	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	175000	-2.117157e-08	10965251.0	-0.002699429	0.0	2.727486	0.006199347	0.037	79.0	120.33900237083435
35	-2897.1216	3489.8179	-519.11646	-19841.969	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	180000	-3.1280518e-08	4741925.5	-0.0038492775	0.0	2.7066753	0.007125177	0.0538	79.0	123.85867476463318
36	-2872.166	4917.821	-443.2638	-26358.66	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	185000	1.1444092e-09	4009139.0	-0.0022972259	0.0	2.6137877	0.007663214	0.0772	79.0	127.4758026599884
37	-3470.4497	11602.846	-411.3068	-83528.625	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	190000	3.8146974e-09	52734760.0	-0.00112305	0.0	2.648402	0.005104893	0.042	79.0	131.06081652641296
38	-6350.588	35757.637	-398.22443	-256599.8	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	195000	-5.5789946e-09	97867680.0	-0.0013543422	0.0	2.620382	0.01788864	0.2492	15.0	134.40767192840576
39	-4558.08	23619.646	-347.54218	-169581.44	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	200000	-1.6212464e-09	227975100.0	-0.0024904772	0.0	2.6527493	0.016171476	0.2188	15.0	137.70778584480286
40	-1464.8348	1923.4775	-328.52872	-9598.207	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	205000	-4.196167e-09	759175.8	-0.002581144	0.0	2.6767836	0.0051340032	0.045	79.0	141.55497670173645
41	-5786.788	22678.414	-268.3983	-120021.93	100.0	-508.4474	3.0517578e-05	-508.44742	-508.44742	210000	5.817413e-09	96498700.0	-0.0017263188	0.0	2.6523335	0.0150359925	0.2288	12.0	144.7926926612854
